speciesID,scientificNameID,class,order,family,genus,scientificName,currentScientificNameCode,currentScientificName,taxonRank,scientificNameAuthorship,primaryGrowthForm,secondaryGrowthForms
2497,2497,Flora,Flora,Annonaceae,Meiogyne,Fissistigma stenopetala,10534,Meiogyne stenopetala subsp. stenopetala,Subspecies,(F.Muell.) Heusden,NA,NA
2498,2498,Flora,Flora,Caryophyllaceae,Drymaria,Drymaria cordata,10546,Drymaria cordata subsp. cordata,Subspecies,(L.) Willd. ex Roem. & Schult.,NA,NA
2499,2499,Flora,Flora,Chenopodiaceae,Atriplex,Atriplex pumilio,2068,Atriplex pumilio,Species,R.Br.,Forb,NA
2500,2500,Flora,Flora,Malvaceae,Abutilon,Abutilon tubulosum,3634,Abutilon tubulosum,Species,(A.Cunn. ex Hook.) Walp.,Shrub,Forb
2501,2501,Flora,Flora,Poaceae,Eragrostis,Eragrostis microcarpa,4963,Eragrostis microcarpa,Species,Vickery,Tussock Grass,NA
2502,2502,Flora,Flora,Poaceae,Panicum,Panicum pygmaeum,5063,Panicum pygmaeum,Species,R.Br.,Other Grass,Tussock Grass
2503,2503,Flora,Flora,Poaceae,Austrostipa,Stipa teretifolia,10372,Austrostipa stipoides,Species,(Hook.f.) S.W.L.Jacobs & Everett,NA,NA
2504,2504,Flora,Flora,Phormiaceae,Dianella,Dianella longifolia var. grandis,8725,Dianella longifolia var. longifolia,Variety,R.Br.,NA,NA
2505,2505,Flora,Flora,Asteraceae,Vittadinia,Vittadinia dissecta,1712,Vittadinia dissecta,Species,(Benth.) N.T.Burb.,Forb,NA
2506,2506,Flora,Flora,Malvaceae,Lawrencia,Selenothamnus squamatus,6578,Lawrencia squamata,Species,Nees ex Miq.,NA,NA
2507,2507,Flora,Flora,Proteaceae,Persoonia,Persoonia chamaepitys,5453,Persoonia chamaepitys,Species,A.Cunn.,Shrub,NA
2508,2508,Flora,Flora,Orchidaceae,Genoplesium,Prasophyllum archeri,9197,Genoplesium archeri,Species,(Hook.f.) D.L.Jones & M.A.Clem.,NA,NA
2509,2509,Flora,Flora,Orchidaceae,Genoplesium,Prasophyllum aureoviride,9200,Genoplesium pumilum,Species,(Hook.f.) D.L.Jones & M.A.Clem.,NA,NA
2510,2510,Flora,Flora,Orchidaceae,Genoplesium,Prasophyllum fimbriatum,8872,Genoplesium fimbriatum,Species,(R.Br.) D.L.Jones & M.A.Clem.,NA,NA
2511,2511,Flora,Flora,Solanaceae,Solanum,Solanum eremophilum,6995,Solanum eremophilum,Species,F.Muell.,Forb,NA
2512,2512,Flora,Flora,Fabaceae (Caesalpinioideae),Senna,Cassia nemophila var. platypoda,15057,Senna artemisioides subsp. x petiolaris,Subspecies,Randell,NA,NA
2513,2513,Flora,Flora,Onagraceae,Epilobium,Epilobium sarmentaceum,4332,Epilobium sarmentaceum,Species,Hausskn.,Forb,NA
2514,2514,Flora,Flora,Poaceae,Austrostipa,Stipa tuckeri,10368,Austrostipa tuckeri,Species,(F.Muell.) S.W.L.Jacobs & Everett,NA,NA
2515,2515,Flora,Flora,Vitaceae,Cissus,Cissus antarctica,6282,Cissus antarctica,Species,Vent.,Vine,NA
2516,2516,Flora,Flora,Lauraceae,Cryptocarya,Cryptocarya dorrigoensis,8476,Cryptocarya dorrigoensis,Species,Frodin ex B.Hyland & A.G.Floyd,Tree,Shrub
2517,2517,Flora,Flora,Anthericaceae,Caesia,Caesia vittata,7333,Caesia parviflora var. vittata,Variety,R.J.F.Hend.,NA,NA
2518,2518,Flora,Flora,Aizoaceae,Tetragonia,Tetragonia eremaea,1038,Tetragonia eremaea,Species,Ostenf.,Forb,NA
2519,2519,Flora,Flora,Apocynaceae,Parsonsia,Parsonsia fulva,1179,Parsonsia fulva,Species,S.T.Blake,Vine,NA
2520,2520,Flora,Flora,Apocynaceae,Parsonsia,Parsonsia induplicata,1180,Parsonsia induplicata,Species,F.Muell.,Vine,NA
2521,2521,Flora,Flora,Cyperaceae,Scleria,Scleria mackaviensis,2514,Scleria mackaviensis,Species,Boeck.,Sedge,NA
2522,2522,Flora,Flora,Myrtaceae,Leptospermum,Leptospermum scoparium,4235,Leptospermum scoparium,Species,J.R.Forst. & G.Forst.,Shrub,NA
2523,2523,Flora,Flora,Orchidaceae,Diuris,Diuris longifolia,4446,Diuris longifolia,Species,R.Br.,Forb,NA
2524,2524,Flora,Flora,Thymelaeaceae,Pimelea,Pimelea octophylla,9576,Pimelea ciliolaris,Species,(Threlfall) Rye,NA,NA
2525,2525,Flora,Flora,Hypoxidaceae,Hypoxis,Hypoxis vaginata var. vaginata,6879,Hypoxis vaginata var. vaginata,Variety,Schltdl.,Forb,NA
2526,2526,Flora,Flora,Boraginaceae,Plagiobothrys,Plagiobothrys plurisepalus,11141,Plagiobothrys plurisepaleus,Species,(F.Muell.) I.M.Johnst.,NA,NA
2527,2527,Flora,Flora,Blechnaceae,Doodia,Doodia hindii,8068,Doodia hindii,Species,Tindale ex T.C. Chambers,Fern and fern allies,NA
2528,2528,Flora,Flora,Proteaceae,Grevillea,Grevillea parviflora,5389,Grevillea parviflora,Species,R. Br.,Shrub,NA
2529,2529,Flora,Flora,Proteaceae,Grevillea,Grevillea phylicoides,5390,Grevillea phylicoides,Species,R.Br.,Shrub,NA
2530,2530,Flora,Flora,Ericaceae,Leucopogon,Leucopogon parviflorus,2632,Leucopogon parviflorus,Species,(Andrews) Lindl.,Heath shrub,Shrub; Tree
2531,2531,Flora,Flora,Fabaceae (Faboideae),Daviesia,Daviesia virgata,9597,Daviesia leptophylla,Species,A.Cunn. ex Don,NA,NA
2532,2532,Flora,Flora,Fabaceae (Faboideae),Daviesia,Daviesia wyattiana,2830,Daviesia wyattiana,Species,F.M.Bailey,Shrub,NA
2533,2533,Flora,Flora,Sapindaceae,Dodonaea,Dodonaea camfieldii,5894,Dodonaea camfieldii,Species,Maiden & Betche,Shrub,NA
2534,2534,Flora,Flora,Sapindaceae,Dodonaea,Dodonaea pinnata,5904,Dodonaea pinnata,Species,Sm.,Shrub,NA
